timestamp,trading_date,ticker,underlying_symbol,fire_direction,fire_price,fire_source,entry_candidate_time,current_time_bucket,option_contract_candidate,option_symbol,expiry,strike,call_or_put,premium_mid,premium_bid,premium_ask,premium_band,spread_pct,volume,open_interest,gex_state,distance_to_wall_bps,wall_bucket,day_type,trend_or_chop_state,vix_level,vix_change_from_open,flow_5m_direction,flow_5m_net_premium,flow_5m_agreement,flow_tier,flow_exhaustion_flag,confirmation_entry_outcome,confirmation_timestamp,confirmation_price,red_flag_count,red_flags_json,positive_stack_score,policy_flags_eq_0_pass,policy_flags_le_1_pass,policy_full_combined_pass,missing_data,notes_json
2026-07-14T13:30:56.816Z,2026-07-14,SPXW,SPX,bull,7530.18,BULL_REVERSE,2026-07-14T13:31:56.816Z,9:30-10,SPXW260714C07530000,SPXW260714C07530000,2026-07-14,7530,call,20.1,20,20.2,other,1,,,neutral,93,50-100(sweet),,,16.72,0,bullish,744609,true,one-sided,false,not_confirmed,2026-07-14T13:32:04.907Z,18.200000000000003,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",2,false,true,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":""unknown"",""bull_tape_gate_missing_data"":true},""unknown_flags"":0}"
2026-07-14T13:30:56.816Z,2026-07-14,SPY,SPY,bear,750.635,BEAR_RUG,2026-07-14T13:31:56.816Z,9:30-10,SPY260714P00751000,SPY260714P00751000,2026-07-14,751,put,2.01,2,2.02,bad_2-10,1,,,positive,75,50-100(sweet),,,16.72,0,bearish,-3233436,true,one-sided,false,confirmed,2026-07-14T13:32:05.444Z,2.275,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":false,""note"":""bear_above_session_open ($750.63 >= $750.63)"",""unknown_flags"":0}"
2026-07-14T13:31:56.817Z,2026-07-14,QQQ,QQQ,bear,718.5799999999999,BEAR_RUG,2026-07-14T13:32:56.817Z,9:30-10,QQQ260714P00719000,QQQ260714P00719000,2026-07-14,719,put,3.175,3.17,3.18,bad_2-10,0.3,,,negative,64,50-100(sweet),,,16.89,0.17,bearish,-186871,true,mixed,false,not_confirmed,2026-07-14T13:33:05.739Z,3.0549999999999997,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":false,""flow_against"":false,""pin"":false,""breakeven"":true}",3,false,true,false,,"{""executed"":false,""note"":""bear_above_prior_close ($718.58 >= $711.93)"",""unknown_flags"":0}"
2026-07-14T13:38:56.850Z,2026-07-14,SPXW,SPX,bear,7531.55,BEAR_RUG,2026-07-14T13:39:56.850Z,9:30-10,SPXW260714P07530000,SPXW260714P07530000,2026-07-14,7530,put,13.850000000000001,13.8,13.9,other,0.7,,,positive,42,20-50,,,16.71,-0.01,bullish,11162708,false,mixed,false,confirmed,2026-07-14T13:40:03.279Z,14.5,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":false,""flow_against"":true,""pin"":false,""breakeven"":false}",0,false,true,false,,"{""executed"":false,""note"":""bear_above_prior_close ($7531.55 >= $7517.22)"",""unknown_flags"":0}"
2026-07-14T13:45:56.857Z,2026-07-14,QQQ,QQQ,bull,719.905,BULL_REVERSE,2026-07-14T13:46:56.857Z,9:30-10,QQQ260714C00720000,QQQ260714C00720000,2026-07-14,720,call,2.45,2.44,2.46,bad_2-10,0.8,,,positive,85,50-100(sweet),,,16.48,-0.24,bullish,240965,true,one-sided,false,not_confirmed,2026-07-14T13:47:04.403Z,2.0549999999999997,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":true}",1,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
2026-07-14T14:01:56.877Z,2026-07-14,QQQ,QQQ,bear,718.4200000000001,BEAR_RUG,2026-07-14T14:02:56.877Z,10-11,QQQ260714P00718000,QQQ260714P00718000,2026-07-14,718,put,2.26,2.25,2.27,bad_2-10,0.9,,,positive,6,<20,,,16.48,-0.24,bullish,4579588,false,mixed,false,confirmed,2026-07-14T14:03:03.707Z,2.41,3,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":true,""pin"":false,""breakeven"":true}",0,false,false,false,,"{""executed"":false,""note"":""bear_above_prior_close ($718.42 >= $711.93)"",""unknown_flags"":0}"
2026-07-14T14:46:56.947Z,2026-07-14,QQQ,QQQ,bear,717.515,BEAR_RUG,2026-07-14T14:47:56.947Z,10-11,QQQ260714P00718000,QQQ260714P00718000,2026-07-14,718,put,2.315,2.3,2.33,bad_2-10,1.3,,,positive,7,<20,,,16.46,-0.26,bearish,-2097477,true,mixed,false,confirmed,2026-07-14T14:48:03.812Z,2.325,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":false,""breakeven"":true}",1,false,false,false,,"{""executed"":false,""note"":""bear_above_prior_close ($717.51 >= $711.93)"",""unknown_flags"":0}"
2026-07-14T15:48:57.013Z,2026-07-14,SPY,SPY,bear,751.88,BEAR_RUG,2026-07-14T15:49:57.013Z,11-12,SPY260714P00752000,SPY260714P00752000,2026-07-14,752,put,1.1150000000000002,1.11,1.12,good_0.5-2,0.9,,,positive,65,50-100(sweet),,,16.41,-0.31,bearish,-761294,true,one-sided,false,confirmed,2026-07-14T15:50:04.358Z,1.225,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":true,""breakeven"":false}",2,false,false,false,,"{""executed"":false,""note"":""bear_above_prior_close ($751.88 >= $749.11)"",""unknown_flags"":0}"
2026-07-14T15:51:57.016Z,2026-07-14,SPXW,SPX,bull,7537.79,BULL_REVERSE,2026-07-14T15:52:57.016Z,11-12,SPXW260714C07540000,SPXW260714C07540000,2026-07-14,7540,call,9.350000000000001,9.3,9.4,bad_2-10,1.1,,,neutral,63,50-100(sweet),,,16.53,-0.19,bearish,-3338260,false,mixed,false,not_confirmed,2026-07-14T15:53:04.666Z,9.1,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":false,""flow_against"":true,""pin"":false,""breakeven"":false}",2,false,true,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
2026-07-14T15:51:57.016Z,2026-07-14,QQQ,QQQ,bull,719.89,BULL_REVERSE,2026-07-14T15:52:57.016Z,11-12,QQQ260714C00720000,QQQ260714C00720000,2026-07-14,720,call,1.57,1.56,1.58,good_0.5-2,1.3,,,positive,43,20-50,,,16.53,-0.19,bearish,-2083262,false,mixed,false,not_confirmed,2026-07-14T15:53:05.954Z,1.4,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":false,""flow_against"":true,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
